Date,XOM,CVX,Spread,Ratio,Log_XOM,Log_CVX
2023-03-03,112.81,164.96,52.15,1.462281713,0.01257766,0.01465586
2023-03-02,111.4,162.56,51.16,1.459245961,0.00458861,0.00314223
2023-03-01,110.89,162.05,51.16,1.461358103,0.00887687,0.00793016
2023-02-28,109.91,160.77,50.86,1.462742244,-0.00580606,-0.01267052
2023-02-27,110.55,162.82,52.27,1.47281773,-0.0018075,0.00252129
2023-02-24,110.75,162.41,51.66,1.466455982,9.03e-05,0.00295986
2023-02-23,110.74,161.93,51.19,1.462253928,0.00916231,0.00980522
2023-02-22,109.73,160.35,50.62,1.461314135,-0.01303776,-0.00404544
2023-02-21,111.17,161.0,49.83,1.448232437,-0.00098899,-0.01142517
2023-02-17,111.28,162.85,51.57,1.463425593,-0.03921034,-0.02258611
2023-02-16,115.73,166.57,50.84,1.439298367,-0.00293357,-0.01454224
2023-02-15,116.07,169.01,52.94,1.456104075,-0.00301088,-0.01939533
2023-02-14,116.42,172.32,55.9,1.480158048,-0.01178393,0.00763118
2023-02-13,117.8,171.01,53.21,1.451697793,-0.01156277,-0.00559801
2023-02-10,119.17,171.97,52.8,1.44306453,0.04128712,0.02074044
2023-02-09,114.35,168.44,54.09,1.473021425,0.00376747,-0.00921883
2023-02-08,113.92,170.0,56.08,1.492275281,-0.00873979,-0.02377397
2023-02-07,114.92,174.09,59.17,1.514879916,0.02815099,0.02589386
2023-02-06,111.73,169.64,57.91,1.518303052,-0.00169908,0.00112065
2023-02-03,111.92,169.45,57.53,1.514027877,0.00690369,0.00260001
2023-02-02,111.15,169.01,57.86,1.520557805,-0.03178806,-0.01380872
2023-02-01,114.74,171.36,56.62,1.493463483,-0.0110077,-0.01540363
2023-01-31,116.01,174.02,58.01,1.5000431,0.02134506,-0.00103383
2023-01-30,113.56,174.2,60.64,1.533990842,-0.01789113,-0.02969255
2023-01-27,115.61,179.45,63.84,1.552201367,-0.0184262,-0.0454277
2023-01-26,117.76,187.79,70.03,1.594684103,0.03940415,0.04749168
2023-01-25,113.21,179.08,65.87,1.58183906,-0.00528589,-0.00972473
2023-01-24,113.81,180.83,67.02,1.588876197,0.00926873,0.00094055
2023-01-23,112.76,180.66,67.9,1.602163888,-0.00521871,-0.00132758
2023-01-20,113.35,180.9,67.55,1.595941773,0.01807144,0.01055859
2023-01-19,111.32,179.0,67.68,1.607977003,0.00639844,0.00993748
2023-01-18,110.61,177.23,66.62,1.602296357,-0.02075766,-0.01822705
2023-01-17,112.93,180.49,67.56,1.598246701,-0.00194621,0.01636679
2023-01-13,113.15,177.56,64.41,1.569244366,-0.00061846,0.00270697
2023-01-12,113.22,177.08,63.86,1.564034623,0.01647484,0.01067343
2023-01-11,111.37,175.2,63.83,1.573134596,0.01155978,-0.00478306
2023-01-10,110.09,176.04,65.95,1.599055318,0.01482458,0.00489723
2023-01-09,108.47,175.18,66.71,1.615008758,-0.01881334,-0.00784675
2023-01-06,110.53,176.56,66.03,1.597394373,0.01201434,0.0075043
2023-01-05,109.21,175.24,66.03,1.604614962,0.02212746,0.01784836
2023-01-04,106.82,172.14,65.32,1.611495975,0.0029063,-0.01068973
2023-01-03,106.51,173.99,67.48,1.633555535,-0.03496505,-0.03112167
2022-12-30,110.3,179.49,69.19,1.627289211,0.01002286,0.00653981
2022-12-29,109.2,178.32,69.12,1.632967033,0.00753749,0.00754296
2022-12-28,108.38,176.98,68.6,1.63295811,-0.01656258,-0.01486245
2022-12-27,110.19,179.63,69.44,1.630184227,0.01379836,0.01249211
2022-12-23,108.68,177.4,68.72,1.632315053,0.02610141,0.03044758
2022-12-22,105.88,172.08,66.2,1.625236116,-0.02038025,-0.01511073
2022-12-21,108.06,174.7,66.64,1.616694429,0.0127592,0.01168796
2022-12-20,106.69,172.67,65.98,1.618427219,0.01434934,0.01628995
2022-12-19,105.17,169.88,64.71,1.615289531,0.00447897,0.00685177
2022-12-16,104.7,168.72,64.02,1.611461318,-0.00704295,-0.01365691
2022-12-15,105.44,171.04,65.6,1.62215478,-0.00962726,-0.0075138
2022-12-14,106.46,172.33,65.87,1.618730039,-0.00739323,-0.00693925
2022-12-13,107.25,173.53,66.28,1.617995338,0.01087477,0.02202373
2022-12-12,106.09,169.75,63.66,1.600056556,0.02432978,0.01036279
2022-12-09,103.54,168.0,64.46,1.622561329,-0.00846322,-0.03244414
2022-12-08,104.42,173.54,69.12,1.661942157,0.00740139,0.00589495
2022-12-07,103.65,172.52,68.87,1.66444766,-0.00221655,0.00296056
2022-12-06,103.88,172.01,68.13,1.655852907,-0.02818959,-0.02610815
2022-12-05,106.85,176.56,69.71,1.65240992,-0.02778085,-0.025002
2022-12-02,109.86,181.03,71.17,1.647824504,-0.00851995,-0.00803261
2022-12-01,110.8,182.49,71.69,1.647021661,-0.00486181,-0.00448333
2022-11-30,111.34,183.31,71.97,1.646398419,0.00721114,0.01251595
2022-11-29,110.54,181.03,70.49,1.637687715,0.00662585,0.01485878
2022-11-28,109.81,178.36,68.55,1.624260086,-0.0304929,-0.02950001
2022-11-25,113.21,183.7,70.49,1.622648176,-0.00352703,-0.00293526
2022-11-23,113.61,184.24,70.63,1.621688232,-0.00500462,-0.00891585
2022-11-22,114.18,185.89,71.71,1.62804344,0.02851626,0.02533298
2022-11-21,110.97,181.24,70.27,1.633234207,-0.00995301,-0.00960939
2022-11-18,112.08,182.99,70.91,1.632673091,-0.00870575,-0.00599326
2022-11-17,113.06,184.09,71.03,1.628250486,0.00132761,-0.004877
2022-11-16,112.91,184.99,72.08,1.638384554,-0.01074711,-0.01640612
2022-11-15,114.13,188.05,73.92,1.647682467,0.00668134,0.00800859
2022-11-14,113.37,186.55,73.18,1.645497045,-0.00510295,0.00048256
2022-11-11,113.95,186.46,72.51,1.636331724,0.03074423,0.02806362
2022-11-10,110.5,181.3,70.8,1.640723982,0.01458549,0.0187629
2022-11-09,108.9,177.93,69.03,1.633884298,-0.04576842,-0.04080176
2022-11-08,114.0,185.34,71.34,1.625789474,0.00316289,-0.00145572
2022-11-07,113.64,185.61,71.97,1.633315734,0.01177265,0.01186909
2022-11-04,112.31,183.42,71.11,1.633158223,0.01083221,0.0125636
2022-11-03,111.1,181.13,70.03,1.630333033,0.01350209,0.0146264
2022-11-02,109.61,178.5,68.89,1.628501049,-0.02076637,-0.02062615
2022-11-01,111.91,182.22,70.31,1.628272719,0.00987795,0.00727036
2022-10-31,110.81,180.9,70.09,1.63252414,0.00099318,0.00509866
2022-10-28,110.7,179.98,69.28,1.625835592,0.02886798,0.01162414
2022-10-27,107.55,177.9,70.35,1.654114365,0.00381947,0.00456352
2022-10-26,107.14,177.09,69.95,1.652884077,0.01183001,0.01227218
2022-10-25,105.88,174.93,69.05,1.652153381,-0.00677713,0.01034314
2022-10-24,106.6,173.13,66.53,1.624108818,0.00696605,-0.0003465
2022-10-21,105.86,173.19,67.33,1.636028717,0.01839987,0.02472726
2022-10-20,103.93,168.96,65.03,1.625709612,0.00134797,0.00569802
2022-10-19,103.79,168.0,64.21,1.618653049,0.02923127,0.03193305
2022-10-18,100.8,162.72,61.92,1.614285714,0.00178731,0.00870295
2022-10-17,100.62,161.31,60.69,1.603160405,0.01431384,0.00727955
2022-10-14,99.19,160.14,60.95,1.614477266,-0.02666029,-0.03159257
2022-10-13,101.87,165.28,63.41,1.622459998,0.03435185,0.04732705
2022-10-12,98.43,157.64,59.21,1.601544245,0.00437816,0.00298593
2022-10-11,98.0,157.17,59.17,1.60377551,-0.0085349,0.00019089
2022-10-10,98.84,157.14,58.3,1.589842169,-0.02191512,-0.01822417
2022-10-07,101.03,160.03,59.0,1.583984955,-0.01014337,-0.00864837
2022-10-06,102.06,161.42,59.36,1.581618656,0.02922964,0.01806581
2022-10-05,99.12,158.53,59.41,1.599374496,0.03961627,0.00569334
2022-10-04,95.27,157.63,62.36,1.654560722,0.03579633,0.03814789
2022-10-03,91.92,151.73,59.81,1.6506745,0.05145363,0.05458362
2022-09-30,87.31,143.67,56.36,1.645515978,-0.01556938,-0.00762727
2022-09-29,88.68,144.77,56.09,1.632498872,-0.00202771,-0.00695236
2022-09-28,88.86,145.78,56.92,1.640558181,0.03574264,0.03319691
2022-09-27,85.74,141.02,55.28,1.644739911,0.02074079,0.00042556
2022-09-26,83.98,140.96,56.98,1.67849488,-0.02085741,-0.02667011
2022-09-23,85.75,144.77,59.02,1.688279883,-0.05468695,-0.06756891
2022-09-22,90.57,154.89,64.32,1.71016893,-0.00418687,-0.00077444
2022-09-21,90.95,155.01,64.06,1.704343046,-0.01624988,-0.00815964
2022-09-20,92.44,156.28,63.84,1.690610125,-0.00818794,-0.00395939
2022-09-19,93.2,156.9,63.7,1.683476395,-0.00010729,0.00287219
2022-09-16,93.21,156.45,63.24,1.678467976,-0.0172308,-0.02630486
2022-09-15,94.83,160.62,65.79,1.693767795,-0.02950863,-0.01636395
2022-09-14,97.67,163.27,65.6,1.671649432,0.02424989,0.02392577
2022-09-13,95.33,159.41,64.08,1.672191335,-0.02363539,-0.0191985
2022-09-12,97.61,162.5,64.89,1.664788444,0.01143694,0.0156917
2022-09-09,96.5,159.97,63.47,1.657720207,0.01661393,0.02545085
2022-09-08,94.91,155.95,61.04,1.643135602,0.00814604,0.0054009
2022-09-07,94.14,155.11,60.97,1.647652433,-0.0085674,-0.0128753
2022-09-06,94.95,157.12,62.17,1.654765666,-0.00671777,-0.00463537
2022-09-02,95.59,157.85,62.26,1.65132336,0.01815737,0.01474228
2022-09-01,93.87,155.54,61.67,1.656972409,-0.01815737,-0.01607177
2022-08-31,95.59,158.06,62.47,1.653520243,-0.00750394,-0.01606662
2022-08-30,96.31,160.62,64.31,1.667739591,-0.03879731,-0.0246592
2022-08-29,100.12,164.63,64.51,1.644326808,0.0227294,0.00743815
2022-08-26,97.87,163.41,65.54,1.66966384,-0.01238846,-0.00737741
2022-08-25,99.09,164.62,65.53,1.661317994,0.00516013,0.00872462
2022-08-24,98.58,163.19,64.61,1.655406776,0.00590092,0.00738056
2022-08-23,98.0,161.99,63.99,1.652959184,0.04156632,0.03192595
2022-08-22,94.01,156.9,62.89,1.668971386,-0.00074432,-0.00502242
2022-08-19,94.08,157.69,63.61,1.676126701,-0.0031837,-0.0083989
2022-08-18,94.38,159.02,64.64,1.684890867,0.02336906,0.00833549
2022-08-17,92.2,157.7,65.5,1.710412148,0.00805841,0.00821373
2022-08-16,91.46,156.41,64.95,1.710146512,-0.00935908,-0.00255412
2022-08-15,92.32,156.81,64.49,1.698548527,-0.01803398,-0.01920099
2022-08-12,94.0,159.85,65.85,1.700531915,0.00865436,0.00143989
2022-08-11,93.19,159.62,66.43,1.712844726,0.01884804,0.0240945
2022-08-10,91.45,155.82,64.37,1.703881903,0.00944854,0.00263471
2022-08-09,90.59,155.41,64.82,1.715531516,0.01826942,0.01295271
2022-08-08,88.95,153.41,64.46,1.724676785,0.00563699,-0.00149813
2022-08-05,88.45,153.64,65.19,1.737026569,0.01434778,0.01640564
2022-08-04,87.19,151.14,63.95,1.733455672,-0.04298962,-0.02753844
2022-08-03,91.02,155.36,64.34,1.706877609,-0.03295992,-0.02403931
2022-08-02,94.07,159.14,65.07,1.691718933,-0.00434899,-0.00857193
2022-08-01,94.48,160.51,66.03,1.698878069,-0.0256009,-0.02016782
2022-07-29,96.93,163.78,66.85,1.68967296,0.04526805,0.08529214
2022-07-28,92.64,150.39,57.75,1.623380829,0.01161731,0.00754217
2022-07-27,91.57,149.26,57.69,1.630009829,0.02141362,0.01308266
2022-07-26,89.63,147.32,57.69,1.643646101,-0.00389734,-0.00784318
2022-07-25,89.98,148.48,58.5,1.650144477,0.03276019,0.02931839
2022-07-22,87.08,144.19,57.11,1.655833716,-0.00766463,-0.00835669
2022-07-21,87.75,145.4,57.65,1.656980057,-0.01683751,-0.00767337
2022-07-20,89.24,146.52,57.28,1.641864635,0.01092907,0.01312147
2022-07-19,88.27,144.61,56.34,1.638268948,0.02489089,0.03540255
2022-07-18,86.1,139.58,53.48,1.621138211,0.01828462,0.01392368
2022-07-15,84.54,137.65,53.11,1.628223326,0.01669886,0.01250062
2022-07-14,83.14,135.94,52.8,1.63507337,-0.0202412,-0.01496761
2022-07-13,84.84,137.99,53.15,1.626473362,0.0040156,-0.00671701
2022-07-12,84.5,138.92,54.42,1.644023669,-0.01340093,-0.01847216
2022-07-11,85.64,141.51,55.87,1.652382064,-0.00512463,-0.00886456
2022-07-08,86.08,142.77,56.69,1.65857342,0.00162772,-0.00523945
2022-07-07,85.94,143.52,57.58,1.670002327,0.03144095,0.01927601
2022-07-06,83.28,140.78,57.5,1.690441883,-0.01820504,-0.01326579
2022-07-05,84.81,142.66,57.85,1.682112958,-0.0317966,-0.02662951
2022-07-01,87.55,146.51,58.96,1.673443746,0.0220576,0.01187834
2022-06-30,85.64,144.78,59.14,1.690565156,-0.02854706,-0.01508117
2022-06-29,88.12,146.98,58.86,1.667952792,-0.03763945,-0.01993869
2022-06-28,91.5,149.94,58.44,1.638688525,0.02736558,0.01593257
2022-06-27,89.03,147.57,58.54,1.657531169,0.02421536,0.01915636
2022-06-24,86.9,144.77,57.87,1.66593786,0.01963923,0.01629563
2022-06-23,85.21,142.43,57.22,1.671517428,-0.03062584,-0.03748286
2022-06-22,87.86,147.87,60.01,1.683018438,-0.04037573,-0.04444294
2022-06-21,91.48,154.59,63.11,1.689877569,0.0603787,0.0409999
2022-06-17,86.12,148.38,62.26,1.722944728,-0.05939439,-0.04674056
2022-06-16,91.39,155.48,64.09,1.701280228,-0.03758226,-0.05493343
2022-06-15,94.89,164.26,69.37,1.731057013,-0.01267099,-0.01983128
2022-06-14,96.1,167.55,71.45,1.743496358,0.00260485,0.0013139
2022-06-13,95.85,167.33,71.48,1.745748565,-0.04697517,-0.04710117
2022-06-10,100.46,175.4,74.94,1.745968545,-0.01844325,-0.0120142
2022-06-09,102.33,177.52,75.19,1.734779635,-0.02184506,-0.02013173
2022-06-08,104.59,181.13,76.54,1.731809924,0.01173316,0.00514766
2022-06-07,103.37,180.2,76.83,1.743252394,0.0448124,0.01887853
2022-06-06,98.84,176.83,77.99,1.789053015,-0.00252615,-0.00434501
2022-06-03,99.09,177.6,78.51,1.792310021,0.01443408,0.00904984
2022-06-02,97.67,176.0,78.33,1.80198628,-0.00173904,-0.00181653
2022-06-01,97.84,176.32,78.48,1.80212592,0.0189853,0.0094593
2022-05-31,96.0,174.66,78.66,1.819375,-0.01642684,-0.02051412
2022-05-27,97.59,178.28,80.69,1.826826519,0.00978229,0.00952469
2022-05-26,96.64,176.59,79.95,1.827297185,0.00352442,0.00670457
2022-05-25,96.3,175.41,79.11,1.821495327,0.01992725,0.01591759
2022-05-24,94.4,172.64,78.24,1.828813559,0.00541719,0.00534326
2022-05-23,93.89,171.72,77.83,1.82894877,0.02185821,0.02297327
2022-05-20,91.86,167.82,75.96,1.826910516,0.00786889,0.00573684
2022-05-19,91.14,166.86,75.72,1.830809743,0.00539085,-0.00716592
2022-05-18,90.65,168.06,77.41,1.85394374,-0.01597758,-0.03490664
2022-05-17,92.11,174.03,81.92,1.889371404,0.01267361,0.0058783
2022-05-16,90.95,173.01,82.06,1.902253986,0.02324781,0.03015953
2022-05-13,88.86,167.87,79.01,1.889151474,0.0292325,0.01900352
2022-05-12,86.3,164.71,78.41,1.908574739,-0.00566181,0.00945504
2022-05-11,86.79,163.16,76.37,1.879940085,0.02060488,0.01469434
2022-05-10,85.02,160.78,75.76,1.891084451,0.00660847,0.00956168
2022-05-09,84.46,159.25,74.79,1.885507933,-0.08213527,-0.06937375
2022-05-06,91.69,170.69,79.0,1.861598866,0.01516513,0.02629622
2022-05-05,90.31,166.26,75.95,1.840992138,-0.01527418,-0.00796769
2022-05-04,91.7,167.59,75.89,1.827589967,0.0390288,0.03090406
2022-05-03,88.19,162.49,74.3,1.84249915,0.02039017,0.01700637
2022-05-02,86.41,159.75,73.34,1.848744358,0.01351529,0.01946841
2022-04-29,85.25,156.67,71.42,1.837771261,-0.02261621,-0.03215752
2022-04-28,87.2,161.79,74.59,1.855389908,0.02979736,0.03490591
2022-04-27,84.64,156.24,71.6,1.845935728,0.02815737,-0.0018544
2022-04-26,82.29,156.53,74.24,1.902175234,0.00036463,-0.00611428
2022-04-25,82.26,157.49,75.23,1.914539266,-0.03429454,-0.02173179
2022-04-22,85.13,160.95,75.82,1.890637848,-0.02207339,-0.02230302
2022-04-21,87.03,164.58,77.55,1.891072044,-0.01062928,-0.04717436
2022-04-20,87.96,172.53,84.57,1.961459754,0.00227635,0.00406552
2022-04-19,87.76,171.83,84.07,1.95795351,-0.00896155,-0.0119173
2022-04-18,88.55,173.89,85.34,1.963749294,0.00816424,0.01331501
2022-04-14,87.83,171.59,83.76,1.95366048,0.01168131,-0.00046612
2022-04-13,86.81,171.67,84.86,1.97753715,0.01403654,0.01561614
2022-04-12,85.6,169.01,83.41,1.974415888,0.02065579,0.02062422
2022-04-11,83.85,165.56,81.71,1.974478235,-0.03503786,-0.02605292
2022-04-08,86.84,169.93,83.09,1.956817135,0.02082803,0.01679415
2022-04-07,85.05,167.1,82.05,1.964726631,0.01659789,0.01379914
2022-04-06,83.65,164.81,81.16,1.970233114,0.01105913,0.00883694
2022-04-05,82.73,163.36,80.63,1.974616221,-0.00518417,-0.00616363
2022-04-04,83.16,164.37,81.21,1.976551227,0.00048112,0.00091299
2022-04-01,83.12,164.22,81.1,1.975697786,0.00639674,0.00850028
2022-03-31,82.59,162.83,80.24,1.971546192,-0.01430571,-0.01614363
2022-03-30,83.78,165.48,81.7,1.975173072,0.01697302,0.0070346
2022-03-29,82.37,164.32,81.95,1.994901056,-0.00532753,-0.01227826
2022-03-28,82.81,166.35,83.54,2.00881536,-0.02845261,-0.01763735
2022-03-25,85.2,169.31,84.11,1.987206573,0.02159296,0.01793797
2022-03-24,83.38,166.3,82.92,1.994483089,0.00300282,0.00264933
2022-03-23,83.13,165.86,82.73,1.995188259,0.01563953,0.010729
2022-03-22,81.84,164.09,82.25,2.005009775,-0.00438918,-0.00334621
2022-03-21,82.2,164.64,82.44,2.002919708,0.04389341,0.01783299
2022-03-18,78.67,161.73,83.06,2.05580272,-0.00393277,0.00800824
2022-03-17,78.98,160.44,81.46,2.031400355,0.02629874,0.01716214
2022-03-16,76.93,157.71,80.78,2.050045496,-0.00376257,-0.00360771
2022-03-15,77.22,158.28,81.06,2.04972805,-0.05859627,-0.05195014
2022-03-14,81.88,166.72,84.84,2.036150464,-0.03645488,-0.02476283
2022-03-11,84.92,170.9,85.98,2.012482336,-0.00516797,0.00046822
2022-03-10,85.36,170.82,85.46,2.001171509,0.03057033,0.0269974
2022-03-09,82.79,166.27,83.48,2.00833434,-0.0585264,-0.02529826
2022-03-08,87.78,170.53,82.75,1.942697653,0.00754721,0.05106802
2022-03-07,87.12,162.04,74.92,1.859963269,0.03539882,0.0211427
